Threshold,Take Profit Percent,Stop Loss Percent,Trade Returns,Number of Trades
0.45,0.02,-0.05,0.7822537083088633,11961
0.31,0.04,-0.02,0.7691744351569048,16285
0.54,0.02,-0.03,0.7681924075164469,9613
0.42,0.05,-0.05,0.7659363144359965,12764
0.46,0.03,-0.03,0.7651620052678659,11744
0.59,0.03,-0.01,0.7636549296105433,8506
0.42,0.02,-0.01,0.7621881193540793,12764
0.54,0.02,-0.01,0.7515347093704635,9613
0.41,0.02,-0.05,0.7515034826856183,13028
0.66,0.03,-0.02,0.7460712230610479,7228
0.3,0.05,-0.01,0.7432731446324166,16564
0.64,0.01,-0.04,0.7427078967909397,7577
0.55,0.02,-0.02,0.7311513351560662,9306
0.64,0.03,-0.03,0.7181827885897976,7577
0.33,0.04,-0.02,0.7119017479608973,15688
0.52,0.02,-0.04,0.7094259608888182,10146
0.48,0.03,-0.02,0.7080525004717608,11283
0.5,0.03,-0.03,0.7074531392737412,10692
0.62,0.02,-0.01,0.7060241548564623,7942
0.63,0.02,-0.03,0.7055176857638906,7766
0.68,0.03,-0.02,0.7021766075621753,6874
0.51,0.05,-0.03,0.693388567037612,10433
0.7,0.02,-0.03,0.6929558326210793,6452
0.5,0.02,-0.01,0.6899105621503461,10692
0.47,0.03,-0.03,0.6832403100077941,11508
0.52,0.01,-0.05,0.682386049769939,10146
0.44,0.02,-0.01,0.6791165220424776,12227
0.59,0.02,-0.03,0.6740044329283641,8506
0.46,0.03,-0.04,0.6705879626085468,11744
0.51,0.03,-0.03,0.669771545701944,10433
0.38,0.05,-0.02,0.659787370443334,13730
0.32,0.04,-0.02,0.6596901832163952,15986
0.57,0.02,-0.03,0.6539718686005359,8928
0.36,0.02,-0.01,0.6537844664673705,14468
0.64,0.03,-0.02,0.6521382592806013,7577
0.47,0.02,-0.01,0.6467896223526509,11508
0.53,0.03,-0.01,0.6455821912275774,9871
0.65,0.03,-0.02,0.6423119981644559,7411
0.49,0.03,-0.01,0.6407127648000223,11003
0.34,0.03,-0.02,0.6363393865595898,15323
0.31,0.05,-0.01,0.628380077055344,16285
0.49,0.03,-0.02,0.6251235674300709,11003
0.34,0.05,-0.01,0.6241025997381318,15323
0.5,0.05,-0.04,0.6214872666950116,10692
0.63,0.03,-0.02,0.6167301952249893,7766
0.68,0.03,-0.03,0.6104103082354714,6874
0.51,0.05,-0.04,0.6090679890906591,10433
0.62,0.03,-0.01,0.6030210787212951,7942
0.46,0.05,-0.03,0.6014685348636035,11744
0.56,0.02,-0.02,0.6000569080935413,9087
0.54,0.03,-0.01,0.5951093184637114,9613
0.58,0.03,-0.01,0.5935986843039285,8733
0.46,0.02,-0.01,0.593421295063266,11744
0.69,0.03,-0.02,0.5896656140145166,6669
0.48,0.03,-0.01,0.5879415046193271,11283
0.46,0.05,-0.04,0.5870795681291728,11744
0.48,0.04,-0.03,0.5765475450895957,11283
0.55,0.02,-0.01,0.5756918185434208,9306
0.33,0.05,-0.01,0.5710581502946694,15688
0.49,0.02,-0.05,0.5690165048720874,11003
0.57,0.03,-0.01,0.565613383153983,8928
0.47,0.05,-0.03,0.5596585874017472,11508
0.32,0.05,-0.01,0.5588740352563972,15986
0.4,0.02,-0.01,0.5565209225594512,13239
0.33,0.03,-0.02,0.5549949137721877,15688
0.6,0.02,-0.03,0.5488661647665722,8257
0.62,0.01,-0.04,0.5429591904471855,7942
0.47,0.03,-0.04,0.5390619587089158,11508
0.52,0.03,-0.03,0.5271936519062307,10146
0.53,0.02,-0.04,0.5246142747782743,9871
0.58,0.02,-0.03,0.5184988336860274,8733
0.3,0.03,-0.01,0.5069196625351658,16564
0.51,0.03,-0.04,0.5067799146187069,10433
0.61,0.01,-0.04,0.5029990704701984,8071
0.49,0.04,-0.03,0.4952765992562561,11003
0.47,0.05,-0.04,0.49415128923914614,11508
0.41,0.02,-0.01,0.4851318620090959,13028
0.69,0.03,-0.03,0.4786884462456707,6669
0.51,0.02,-0.01,0.47567152730830936,10433
0.7,0.03,-0.02,0.46831918339361905,6452
0.35,0.05,-0.01,0.4653242248150176,14952
0.52,0.02,-0.01,0.46449397569063683,10146
0.52,0.05,-0.03,0.4634628709424186,10146
0.5,0.03,-0.04,0.46178362915726345,10692
0.37,0.04,-0.02,0.45763106464620845,14104
0.63,0.03,-0.03,0.45359905514790294,7766
0.53,0.03,-0.03,0.45108233112275264,9871
0.38,0.02,-0.01,0.4456904435445825,13730
0.54,0.02,-0.04,0.43795228925012736,9613
0.53,0.01,-0.05,0.42718018629293625,9871
0.48,0.05,-0.02,0.42014933773681945,11283
0.53,0.05,-0.03,0.41945294465546107,9871
0.35,0.04,-0.02,0.4158907220835363,14952
